Meta;Sentence;Tokens;Lemmas;POS
Письмо первое. БОЛЬШОЕ В МАЛОМ;Надо быть одинаково честным как в большом, так и в малом.;Надо быть одинаково честным как в большом , так и в малом .;надо быть одинаково честный как в большой , так и в малый .;ADV AUX ADV ADJ SCONJ ADP ADJ PUNCT ADV PART ADP ADJ PUNCT
Письмо первое. БОЛЬШОЕ В МАЛОМ;Общее правило: блюсти большое в малом – нужно, в частности, и в науке.;Общее правило : блюсти большое в малом – нужно , в частности , и в науке .;общий правило : блюсти большой в малый – нужный , в частность , и в наука .;ADJ NOUN PUNCT VERB ADJ ADP ADJ PUNCT ADJ PUNCT ADP NOUN PUNCT CCONJ ADP NOUN PUNCT
Письмо первое. БОЛЬШОЕ В МАЛОМ;Научная истина дороже всего, и ей надо следовать во всех деталях научного исследования и в жизни ученого.;Научная истина дороже всего , и ей надо следовать во всех деталях научного исследования и в жизни ученого .;научный истина дорогой все , и еис надо следовать в весь деталь научный исследование и в жизнь ученый .;ADJ NOUN ADJ PRON PUNCT CCONJ ADV ADV VERB ADP DET NOUN ADJ NOUN CCONJ ADP NOUN NOUN PUNCT
Письмо первое. БОЛЬШОЕ В МАЛОМ;Если же стремиться в науке к «мелким» целям – к доказательству «силой», вопреки фактам, к «интересности» выводов, к их эффективности или к любым формам самопродвижения, то ученый неизбежно терпит крах.;Если же стремиться в науке к « мелким » целям – к доказательству « силой » , вопреки фактам , к « интересности » выводов , к их эффективности или к любым формам самопродвижения , то ученыи ̆ неизбежно терпит крах .;"если же стремиться в наука к "" мелкий "" цель – к доказательство "" силой "" , вопреки факт , к "" интересность "" вывод , к их эффективность или к любой форма самопродвижение , то ученый ̆ неизбежно терпеть крах .";SCONJ PART VERB ADP NOUN ADP PUNCT ADJ PUNCT NOUN PUNCT ADP NOUN PUNCT NOUN PUNCT PUNCT ADP NOUN PUNCT ADP PUNCT NOUN PUNCT NOUN PUNCT ADP DET NOUN CCONJ ADP DET NOUN NOUN PUNCT SCONJ NOUN PUNCT ADV VERB NOUN PUNCT
Письмо первое. БОЛЬШОЕ В МАЛОМ;Может быть, не сразу, но в конечном счете!;Может быть , не сразу , но в конечном счете !;мочь быть , не сразу , но в конечный счет !;VERB VERB PUNCT PART ADV PUNCT CCONJ ADP ADJ NOUN PUNCT
Письмо первое. БОЛЬШОЕ В МАЛОМ;Когда начинаются преувеличения полученных результатов исследования или даже мелкие подтасовки фактов и научная истина оттесняется на второй план, наука перестает существовать, и сам ученый рано или поздно перестает быть ученым.;Когда начинаются преувеличения полученных результатов исследования или даже мелкие подтасовки фактов и научная истина оттесняется на второй план , наука перестает существовать , и сам ученыи ̆ рано или поздно перестает быть ученым .;когда начинаться преувеличение получить результат исследование или даже мелкий подтасовка факт и научный истина оттесняться на второйный план , наука переставать существовать , и сам ученый ̆ рано или поздно переставать быть ученый .;SCONJ VERB NOUN VERB NOUN NOUN CCONJ PART ADJ NOUN NOUN CCONJ ADJ NOUN VERB ADP ADJ NOUN PUNCT NOUN VERB VERB PUNCT CCONJ ADJ NOUN PUNCT ADV CCONJ ADV VERB AUX NOUN PUNCT
Письмо первое. БОЛЬШОЕ В МАЛОМ;Соблюдать большое надо во всем решительно.;Соблюдать большое надо во всем решительно .;соблюдать большой надо в все решительно .;VERB ADJ ADV ADP PRON ADV PUNCT
Письмо первое. БОЛЬШОЕ В МАЛОМ;Тогда все легко и просто.;Тогда все легко и просто .;тогда все легкий и простой .;ADV PRON ADJ CCONJ ADJ PUNCT
Письмо второе. МОЛОДОСТЬ — ВСЯ ЖИЗНЬ;Когда я учился в школе, а потом в университете, мне казалось, что моя «взрослая жизнь» будет в какой-то совершенно иной обстановке, как бы в ином мире, и меня будут окружать совсем другие люди.;Когда я учился в школе , а потом в университете , мне казалось , что моя « взрослая жизнь » будет в какой-то совершенно иной обстановке , как бы в ином мире , и меня будут окружать совсем другие люди .;"когда я учиться в школа , а потом в университет , я казаться , что мой "" взрослый жизнь "" быть в какой̆-то совершенно иной обстановка , как бы в иной мир , и я быть окружать совсем другой человек .";SCONJ PRON VERB ADP NOUN PUNCT CCONJ ADV ADP NOUN PUNCT PRON VERB PUNCT SCONJ DET PUNCT ADJ NOUN PUNCT AUX ADP DET ADV ADJ NOUN PUNCT ADV PART ADP ADJ NOUN PUNCT CCONJ PRON AUX VERB ADV ADJ NOUN PUNCT
Письмо второе. МОЛОДОСТЬ — ВСЯ ЖИЗНЬ;От настоящего не останется ничего...;От настоящего не останется ничего . . .;от настоящий не остаться ничто . . .;ADP ADJ PART VERB PRON PUNCT PUNCT PUNCT
Письмо второе. МОЛОДОСТЬ — ВСЯ ЖИЗНЬ;А на самом деле оказалось все иначе.;А на самом деле оказалось все иначе .;а на самый дело оказаться все иначе .;CCONJ ADP ADJ NOUN VERB PRON ADV PUNCT
Письмо второе. МОЛОДОСТЬ — ВСЯ ЖИЗНЬ;Мои сверстники остались со мной.;Мои сверстники остались со мной .;мой сверстник остаться с мной .;DET NOUN VERB ADP NOUN PUNCT
Письмо второе. МОЛОДОСТЬ — ВСЯ ЖИЗНЬ;Не все, конечно: многих унесла смерть.;Не все , конечно : многих унесла смерть .;не все , конечно : много унести смерть .;PART PRON PUNCT ADV PUNCT NUM VERB NOUN PUNCT
Письмо второе. МОЛОДОСТЬ — ВСЯ ЖИЗНЬ;И все же друзья молодости оказались самыми верными, всегдашними.;И все же друзья молодости оказались самыми верными , всегдашними .;и все же друг молодость оказаться самый верный , всегдашний .;CCONJ PART PART NOUN NOUN VERB ADJ ADJ PUNCT ADJ PUNCT
Письмо второе. МОЛОДОСТЬ — ВСЯ ЖИЗНЬ;Круг знакомых возрос необычайно, но настоящие друзья – старые.;Круг знакомых возрос необычайно , но настоящие друзья – старые .;круг знакомый возрасти необычайно , но настоящий друг – старый .;NOUN NOUN VERB ADV PUNCT CCONJ ADJ NOUN PUNCT ADJ PUNCT
Письмо второе. МОЛОДОСТЬ — ВСЯ ЖИЗНЬ;Подлинные друзья приобретаются в молодости.;Подлинные друзья приобретаются в молодости .;подлинный друг приобретаться в молодость .;ADJ NOUN VERB ADP NOUN PUNCT
Письмо второе. МОЛОДОСТЬ — ВСЯ ЖИЗНЬ;Я помню, что и у моей матери настоящими друзьями остались только ее подруги по гимназии.;Я помню , что и у моей матери настоящими друзьями остались только ее подруги по гимназии .;я помнить , что и у мой мать настоящий друг остаться только ее подруга по гимназия .;PRON VERB PUNCT SCONJ PART ADP DET NOUN ADJ NOUN VERB PART DET NOUN ADP NOUN PUNCT
Письмо второе. МОЛОДОСТЬ — ВСЯ ЖИЗНЬ;У отца друзья были его сокурсники по институту.;У отца друзья были его сокурсники по институту .;у отец друг быть его сокурсник по институт .;ADP NOUN NOUN AUX DET NOUN ADP NOUN PUNCT
Письмо второе. МОЛОДОСТЬ — ВСЯ ЖИЗНЬ;"И сколько я ни наблюдал,
открытость к дружбе постепенно снижается с возрастом.";И сколько я ни наблюдал , открытость к дружбе постепенно снижается с возрастом .;и сколько я ни наблюдать , открытость к дружба постепенно снижаться с возраст .;CCONJ NUM PRON PART VERB PUNCT NOUN ADP NOUN ADV VERB ADP NOUN PUNCT
Письмо второе. МОЛОДОСТЬ — ВСЯ ЖИЗНЬ;Молодость – это время сближения.;Молодость – это время сближения .;молодость – это время сближение .;NOUN PUNCT PRON NOUN NOUN PUNCT
Письмо второе. МОЛОДОСТЬ — ВСЯ ЖИЗНЬ;И об этом следует помнить и друзей беречь, ибо настоящая дружба очень помогает и в горе и в радости.;И об этом следует помнить и друзей беречь , ибо настоящая дружба очень помогает и в горе и в радости .;и о это следовать помнить и друзей беречь , ибо настоящий дружба очень помогать и в гора и в радость .;CCONJ ADP PRON VERB VERB PART NOUN VERB PUNCT SCONJ ADJ NOUN ADV VERB CCONJ ADP NOUN CCONJ ADP NOUN PUNCT
Письмо второе. МОЛОДОСТЬ — ВСЯ ЖИЗНЬ;В радости ведь тоже нужна помощь: помощь, чтобы ощутить счастье до глубины души, ощутить и поделиться им.;В радости ведь тоже нужна помощь : помощь , чтобы ощутить счастье до глубины души , ощутить и поделиться им .;в радость ведь тоже нужный помощь : помощь , чтобы ощутить счастье до глубина душа , ощутить и делиться они .;ADP NOUN PART PART ADJ NOUN PUNCT NOUN PUNCT SCONJ VERB NOUN ADP NOUN NOUN PUNCT VERB CCONJ VERB PRON PUNCT
Письмо второе. МОЛОДОСТЬ — ВСЯ ЖИЗНЬ;Неразделенная радость – не радость.;Неразделенная радость – не радость .;неразделить радость – не радость .;VERB NOUN PUNCT PART NOUN PUNCT
Письмо второе. МОЛОДОСТЬ — ВСЯ ЖИЗНЬ;Человека портит счастье, если он переживает его один.;Человека портит счастье , если он переживает его один .;человек портить счастье , если он переживать он один .;NOUN VERB NOUN PUNCT SCONJ PRON VERB PRON NUM PUNCT
Письмо второе. МОЛОДОСТЬ — ВСЯ ЖИЗНЬ;Когда же наступит пора несчастий, пора утрат – опять- таки нельзя быть одному.;Когда же наступит пора несчастий , пора утрат – опять - таки нельзя быть одному .;когда же наступить пора несчастий , пора утрата – опять - таки нельзя быть один .;SCONJ PART VERB NOUN NOUN PUNCT NOUN NOUN PUNCT ADV PUNCT PART ADV AUX NUM PUNCT
Письмо второе. МОЛОДОСТЬ — ВСЯ ЖИЗНЬ;Горе человеку, если он один.;Горе человеку , если он один .;горе человек , если он один .;NOUN NOUN PUNCT SCONJ PRON NUM PUNCT
Письмо второе. МОЛОДОСТЬ — ВСЯ ЖИЗНЬ;Поэтому берегите молодость до глубокой старости.;Поэтому берегите молодость до глубокой старости .;поэтому беречь молодость до глубокой старость .;ADV VERB NOUN ADP ADJ NOUN PUNCT
Письмо второе. МОЛОДОСТЬ — ВСЯ ЖИЗНЬ;Цените все хорошее, что приобрели в молодые годы, не растрачивайте богатств молодости.;Цените все хорошее , что приобрели в молодые годы , не растрачивайте богатств молодости .;ценить все хороший , что приобрести в молодой год , не растрачивать богатство молодость .;VERB PRON ADJ PUNCT PRON VERB ADP ADJ NOUN PUNCT PART VERB NOUN NOUN PUNCT
Письмо второе. МОЛОДОСТЬ — ВСЯ ЖИЗНЬ;Ничто из приобретенного в молодости не проходит бесследно.;Ничто из приобретенного в молодости не проходит бесследно .;ничто из приобрести в молодость не проходить бесследно .;PRON ADP VERB ADP NOUN PART VERB ADV PUNCT
Письмо второе. МОЛОДОСТЬ — ВСЯ ЖИЗНЬ;Привычки, воспитанные в молодости, сохраняются на всю жизнь.;Привычки , воспитанные в молодости , сохраняются на всю жизнь .;привычка , воспитать в молодость , сохраняться на весь жизнь .;NOUN PUNCT VERB ADP NOUN PUNCT VERB ADP DET NOUN PUNCT
Письмо второе. МОЛОДОСТЬ — ВСЯ ЖИЗНЬ;Навыки в труде – тоже.;Навыки в труде – тоже .;навык в труд – тоже .;NOUN ADP NOUN PUNCT PART PUNCT
Письмо второе. МОЛОДОСТЬ — ВСЯ ЖИЗНЬ;Привык к работе – и работа вечно будет доставлять радость.;Привык к работе – и работа вечно будет доставлять радость .;привыкнуть к работа – и работа вечно быть доставлять радость .;VERB ADP NOUN PUNCT CCONJ NOUN ADV AUX VERB NOUN PUNCT
Письмо второе. МОЛОДОСТЬ — ВСЯ ЖИЗНЬ;А как это важно для человеческого счастья!;А как это важно для человеческого счастья !;а как это важный для человеческий счастье !;CCONJ ADV PRON ADJ ADP ADJ NOUN PUNCT
Письмо второе. МОЛОДОСТЬ — ВСЯ ЖИЗНЬ;Нет несчастнее человека ленивого, вечно избегающего труда, усилий...;Нет несчастнее человека ленивого , вечно избегающего труда , усилии ̆ . . .;нет несчастный человек ленивый , вечно избегать труд , усилие ̆ . . .;VERB ADJ NOUN ADJ PUNCT ADV VERB NOUN PUNCT NOUN PUNCT PUNCT PUNCT PUNCT
Письмо второе. МОЛОДОСТЬ — ВСЯ ЖИЗНЬ;Как в молодости, так и в старости.;Как в молодости , так и в старости .;как в молодость , так и в старость .;SCONJ ADP NOUN PUNCT ADV PART ADP NOUN PUNCT
Письмо второе. МОЛОДОСТЬ — ВСЯ ЖИЗНЬ;Хорошие навыки молодости облегчат жизнь, дурные – усложнят ее и затруднят.;Хорошие навыки молодости облегчат жизнь , дурные – усложнят ее и затруднят .;хороший навык молодость облегчить жизнь , дурной – усложнить она и затруднить .;ADJ NOUN NOUN VERB NOUN PUNCT ADJ PUNCT VERB PRON CCONJ VERB PUNCT
Письмо второе. МОЛОДОСТЬ — ВСЯ ЖИЗНЬ;И еще.;И еще .;и еще .;CCONJ ADV PUNCT
Письмо второе. МОЛОДОСТЬ — ВСЯ ЖИЗНЬ;Есть русская пословица: «Береги честь смолоду».;Есть русская пословица : « Береги честь смолоду » .;"быть русский пословица : "" беречь честь смолода "" .";VERB ADJ NOUN PUNCT PUNCT VERB NOUN NOUN PUNCT PUNCT
Письмо второе. МОЛОДОСТЬ — ВСЯ ЖИЗНЬ;В памяти остаются все поступки, совершенные в молодости.;В памяти остаются все поступки , совершенные в молодости .;в память оставаться весь поступок , совершить в молодость .;ADP NOUN VERB DET NOUN PUNCT VERB ADP NOUN PUNCT
Письмо второе. МОЛОДОСТЬ — ВСЯ ЖИЗНЬ;Хорошие будут радовать, дурные не давать спать!;Хорошие будут радовать , дурные не давать спать !;хороший быть радовать , дурной не давать спать !;ADJ AUX VERB PUNCT ADJ PART VERB VERB PUNCT
Письмо третье. САМОЕ БОЛЬШОЕ;А в чем самая большая цель жизни?;А в чем самая большая цель жизни ?;а в что самый большой цель жизнь ?;CCONJ ADP PRON DET ADJ NOUN NOUN PUNCT
Письмо третье. САМОЕ БОЛЬШОЕ;Я думаю: увеличивать добро в окружающем нас.;Я думаю : увеличивать добро в окружающем нас .;я думать : увеличивать добро в окружать мы .;PRON VERB PUNCT VERB NOUN ADP VERB PRON PUNCT
Письмо третье. САМОЕ БОЛЬШОЕ;А добро – это прежде всего счастье всех людей.;А добро – это прежде всего счастье всех людеи ̆ .;а добро – это прежде все счастье весь людей ̆ .;CCONJ NOUN PUNCT PRON ADP PRON NOUN DET NOUN PUNCT PUNCT
Письмо третье. САМОЕ БОЛЬШОЕ;Оно слагается из многого, и каждый раз жизнь ставит перед человеком задачу, которую важно уметь решать.;Оно слагается из многого , и каждыи ̆ раз жизнь ставит перед человеком задачу , которую важно уметь решать .;оно слагаться из многое , и каждый ̆обобеннуй раз жизнь ставить перед человек задача , который важный уметь решать .;PRON VERB ADP ADJ PUNCT CCONJ DET ADJ NOUN NOUN VERB ADP NOUN NOUN PUNCT PRON ADJ VERB VERB PUNCT
Письмо третье. САМОЕ БОЛЬШОЕ;Можно и в мелочи сделать добро человеку, можно и о крупном думать, но мелочь и крупное нельзя разделять.;Можно и в мелочи сделать добро человеку , можно и о крупном думать , но мелочь и крупное нельзя разделять .;можно и в мелочь делать добро человек , можно и о крупный думать , но мелочь и крупный нельзя разделять .;ADV CCONJ ADP NOUN VERB NOUN NOUN PUNCT ADV CCONJ ADP ADJ VERB PUNCT CCONJ NOUN CCONJ ADJ ADV VERB PUNCT
Письмо третье. САМОЕ БОЛЬШОЕ;Многое, как я уже говорил, начинается с мелочей, зарождается в детстве и в близком.;Многое , как я уже говорил , начинается с мелочей , зарождается в детстве и в близком .;многое , как я уже говорить , начинаться с мелочей , зарождаться в детство и в близкий .;NOUN PUNCT SCONJ PRON ADV VERB PUNCT VERB ADP NOUN PUNCT VERB ADP NOUN CCONJ ADP ADJ PUNCT
Письмо третье. САМОЕ БОЛЬШОЕ;Ребенок любит свою мать и своего отца, братьев и сестер, свою семью, свой дом.;Ребенок любит свою мать и своего отца , братьев и сестер , свою семью , свой дом .;ребенок любить свой мать и свой отец , брат и сестра , свой семья , своий дом .;NOUN VERB DET NOUN CCONJ DET NOUN PUNCT NOUN CCONJ NOUN PUNCT DET NOUN PUNCT DET NOUN PUNCT
Письмо третье. САМОЕ БОЛЬШОЕ;Постепенно расширяясь, его привязанности распространяются на школу, село, город, всю свою страну.;Постепенно расширяясь , его привязанности распространяются на школу , село , город , всю свою страну .;постепенно расширяться , его привязанность распространяться на школа , село , город , весь свой страна .;ADV VERB PUNCT DET NOUN VERB ADP NOUN PUNCT NOUN PUNCT NOUN PUNCT DET DET NOUN PUNCT
Письмо третье. САМОЕ БОЛЬШОЕ;А это уже совсем большое и глубокое чувство, хотя и на этом нельзя останавливаться и надо любить в человеке человека.;А это уже совсем большое и глубокое чувство , хотя и на этом нельзя останавливаться и надо любить в человеке человека .;а это уже совсем большой и глубокий чувство , хотя и на это нельзя останавливаться и надо любить в человек человек .;CCONJ PRON ADV ADV ADJ CCONJ ADJ NOUN PUNCT SCONJ PART ADP PRON ADV VERB CCONJ ADV VERB ADP NOUN NOUN PUNCT
Письмо третье. САМОЕ БОЛЬШОЕ;Надо быть патриотом, а не националистом.;Надо быть патриотом , а не националистом .;надо быть патриот , а не националист .;ADV AUX NOUN PUNCT CCONJ PART NOUN PUNCT
Письмо третье. САМОЕ БОЛЬШОЕ;Нет необходимости ненавидеть каждую чужую семью, потому что любишь свою.;Нет необходимости ненавидеть каждую чужую семью , потому что любишь свою .;нет необходимость ненавидеть каждый чужой семья , потому что любить свой .;VERB NOUN VERB DET ADJ NOUN PUNCT ADV SCONJ VERB DET PUNCT
Письмо третье. САМОЕ БОЛЬШОЕ;Нет необходимости ненавидеть другие народы, потому что ты патриот.;Нет необходимости ненавидеть другие народы , потому что ты патриот .;нет необходимость ненавидеть другой народ , потому что ты патриот .;VERB NOUN VERB ADJ NOUN PUNCT ADV SCONJ PRON NOUN PUNCT
Письмо третье. САМОЕ БОЛЬШОЕ;Между патриотизмом и национализмом глубокое различие.;Между патриотизмом и национализмом глубокое различие .;между патриотизм и национализм глубокий различие .;ADP NOUN CCONJ NOUN ADJ NOUN PUNCT
Письмо третье. САМОЕ БОЛЬШОЕ;В первом – любовь к своей стране, во втором – ненависть ко всем другим.;В первом – любовь к своей стране , во втором – ненависть ко всем другим .;в первый – любовь к свой страна , в второй – ненависть к все другой .;ADP ADJ PUNCT NOUN ADP DET NOUN PUNCT ADP ADJ PUNCT NOUN ADP PRON ADJ PUNCT
Письмо третье. САМОЕ БОЛЬШОЕ;Большая цель добра начинается с малого – с желания добра своим близким, но, расширяясь, она захватывает все более широкий круг вопросов.;Большая цель добра начинается с малого – с желания добра своим близким , но , расширяясь , она захватывает все более широкии ̆ круг вопросов .;больший цель добро начинаться с малый – с желание добро свой близкий , но , расширяться , она захватывать все более широкий ̆ круг вопрос .;ADJ NOUN NOUN VERB ADP ADJ PUNCT ADP NOUN NOUN DET ADJ PUNCT CCONJ PUNCT VERB PUNCT PRON VERB PART ADV ADJ PUNCT NOUN NOUN PUNCT
Письмо третье. САМОЕ БОЛЬШОЕ;Это как круги на воде.;Это как круги на воде .;это как круг на вода .;PRON SCONJ NOUN ADP NOUN PUNCT
Письмо третье. САМОЕ БОЛЬШОЕ;Но круги на воде, расширяясь, становятся все слабее.;Но круги на воде , расширяясь , становятся все слабее .;но круг на вода , расширяться , становиться все слабый .;CCONJ NOUN ADP NOUN PUNCT VERB PUNCT VERB PART ADJ PUNCT
Письмо третье. САМОЕ БОЛЬШОЕ;Любовь же и дружба, разрастаясь и распространяясь на многое, обретают новые силы, становятся все выше, а человек, их центр, мудрее.;Любовь же и дружба , разрастаясь и распространяясь на многое , обретают новые силы , становятся все выше , а человек , их центр , мудрее .;любовь же и дружба , разрастаться и распространяться на многое , обретать новый сила , становиться все высокий , а человек , их центр , мудрый .;NOUN PART CCONJ NOUN PUNCT VERB CCONJ VERB ADP NOUN PUNCT VERB ADJ NOUN PUNCT VERB PART ADJ PUNCT CCONJ NOUN PUNCT DET NOUN PUNCT ADJ PUNCT
Письмо третье. САМОЕ БОЛЬШОЕ;Любовь не должна быть безотчетной, она должна быть умной.;Любовь не должна быть безотчетной , она должна быть умной .;любовь не должен быть безотчетнойся , она должен быть умнойсый .;NOUN PART ADJ AUX ADJ PUNCT PRON ADJ AUX ADJ PUNCT
Письмо третье. САМОЕ БОЛЬШОЕ;Это значит, что она должна быть соединена с умением замечать недостатки, бороться с недостатками – как в любимом человеке, так и в окружающих людях.;Это значит , что она должна быть соединена с умением замечать недостатки , бороться с недостатками – как в любимом человеке , так и в окружающих людях .;это значить , что она должен быть соединить с умение замечать недостаток , бороться с недостаток – как в любимый человек , так и в окружать человек .;PRON VERB PUNCT SCONJ PRON ADJ AUX VERB ADP NOUN VERB NOUN PUNCT VERB ADP NOUN PUNCT SCONJ ADP ADJ NOUN PUNCT ADV PART ADP VERB NOUN PUNCT
Письмо третье. САМОЕ БОЛЬШОЕ;Она должна быть соединена с мудростью, с умением отделять необходимое от пустого и ложного.;Она должна быть соединена с мудростью , с умением отделять необходимое от пустого и ложного .;она должен быть соединить с мудрость , с умение отделять необходимый от пустой и ложный .;PRON ADJ AUX VERB ADP NOUN PUNCT ADP NOUN VERB ADJ ADP ADJ CCONJ ADJ PUNCT
Письмо третье. САМОЕ БОЛЬШОЕ;Она не должна быть слепой.;Она не должна быть слепой .;она не должен быть слепой .;PRON PART ADJ AUX ADJ PUNCT
Письмо третье. САМОЕ БОЛЬШОЕ;Слепой восторг (его даже не назовешь любовью) может привести к ужасным последствиям.;Слепой восторг ( его даже не назовешь любовью ) может привести к ужасным последствиям .;слепой восторг ( он даже не назвать любовь ) мочь привести к ужасный последствие .;ADJ NOUN PUNCT PRON PART PART VERB NOUN PUNCT VERB VERB ADP ADJ NOUN PUNCT
Письмо третье. САМОЕ БОЛЬШОЕ;Мать, всем восторгающаяся и поощряющая во всем своего ребенка, может воспитать нравственного урода.;Мать , всем восторгающаяся и поощряющая во всем своего ребенка , может воспитать нравственного урода .;мать , все восторгаться и поощрять в весь свой ребенок , мочь воспитать нравственный урод .;NOUN PUNCT PRON VERB CCONJ VERB ADP DET DET NOUN PUNCT VERB VERB ADJ NOUN PUNCT
Письмо третье. САМОЕ БОЛЬШОЕ;Слепой восторг перед Германией («Германия превыше всего» – слова шовинистической немецкой песни) привел к нацизму, слепой восторг перед Италией – к фашизму.;Слепой восторг перед Германией ( « Германия превыше всего » – слова шовинистической немецкой песни ) привел к нацизму , слепой восторг перед Италией – к фашизму .;"слепой восторг перед Германией ( "" Германия превыше все "" – слово шовинистическоиный немецкой песня ) привести к нацизм , слепой восторг перед Италией – к фашизм .";ADJ NOUN ADP PROPN PUNCT PUNCT PROPN ADJ PRON PUNCT PUNCT NOUN ADJ ADJ NOUN PUNCT VERB ADP NOUN PUNCT ADJ NOUN ADP PROPN PUNCT ADP NOUN PUNCT
Письмо третье. САМОЕ БОЛЬШОЕ;Мудрость – это ум, соединенный с добротой.;Мудрость – это ум , соединенныи ̆ с добротой .;мудрость – это ум , соединить ̆ с добротой .;NOUN PUNCT PRON NOUN PUNCT VERB PUNCT ADP NOUN PUNCT
Письмо третье. САМОЕ БОЛЬШОЕ;Ум без доброты – хитрость.;Ум без доброты – хитрость .;ум без доброта – хитрость .;NOUN ADP NOUN PUNCT NOUN PUNCT
